"producto_marca","producto_url","producto_precio","producto_precio_url","producto_especificaciones","producto_especificaciones_url"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_ijzJUJ-OOnzVdzwXVlpazk58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZy3QN4vryodIgV809AnRhYLQRZ5HvovCwSDUy9056advxDy728Kk7UEGAVxMjyzOSvGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A1%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D","$ 189.000","https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_ijzJUJ-OOnzVdzwXVlpazk58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZy3QN4vryodIgV809AnRhYLQRZ5HvovCwSDUy9056advxDy728Kk7UEGAVxMjyzOSvGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A1%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D","Perfume Khamrah 100ml","https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_ijzJUJ-OOnzVdzwXVlpazk58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZy3QN4vryodIgV809AnRhYLQRZ5HvovCwSDUy9056advxDy728Kk7UEGAVxMjyzOSvGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A1%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_ydkp5Rhd-1nUq-IBO5Xg9E58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZGfUDLv2g7I5JjD-uEpwooGqd2euZksiyYMRu79Hszpj4T9FvCr8Y6w0EmGR3W1T5vGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A2%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D","$ 183.000","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_ydkp5Rhd-1nUq-IBO5Xg9E58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZGfUDLv2g7I5JjD-uEpwooGqd2euZksiyYMRu79Hszpj4T9FvCr8Y6w0EmGR3W1T5vGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A2%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D","Perfume Yara 100ml","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_ydkp5Rhd-1nUq-IBO5Xg9E58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZGfUDLv2g7I5JjD-uEpwooGqd2euZksiyYMRu79Hszpj4T9FvCr8Y6w0EmGR3W1T5vGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A2%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D"
"MOSCHINO","https://www.falabella.com.co/falabella-co/product/73136906/Perfume-Moschino-Toy-2-Mujer-100-ml-EDP/73136906","$ 309.990","https://www.falabella.com.co/falabella-co/product/73136906/Perfume-Moschino-Toy-2-Mujer-100-ml-EDP/73136906","Perfume Toy 2 Mujer 100 ml EDP","https://www.falabella.com.co/falabella-co/product/73136906/Perfume-Moschino-Toy-2-Mujer-100-ml-EDP/73136906"
"MONTBLANC","https://www.falabella.com.co/falabella-co/product/1398700/Perfume-Hombre-Montblanc-Starwalker-75-ml-EDT/1398700","$ 209.990","https://www.falabella.com.co/falabella-co/product/1398700/Perfume-Hombre-Montblanc-Starwalker-75-ml-EDT/1398700","Perfume Hombre Starwalker 75 ml EDT","https://www.falabella.com.co/falabella-co/product/1398700/Perfume-Hombre-Montblanc-Starwalker-75-ml-EDT/1398700"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/142807803/Perfume-Afeef-Lattafa-100ML/142807804?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_tEaPsa95FS5irFL4qMIl7nJjwWZMNv5J_1oC6tiPA63C7yHfRzX4YI9L4bdtQ-WZVal-viWQqIPFlfUI9LckNMgy4m7vs54IcqvDCy_JomWIw9BOp7cOxsK-xBrdYzoHWXWDXy3B2tv2UaW09S0PfNaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A5%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D","$ 223.000","https://www.falabella.com.co/falabella-co/product/142807803/Perfume-Afeef-Lattafa-100ML/142807804?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_tEaPsa95FS5irFL4qMIl7nJjwWZMNv5J_1oC6tiPA63C7yHfRzX4YI9L4bdtQ-WZVal-viWQqIPFlfUI9LckNMgy4m7vs54IcqvDCy_JomWIw9BOp7cOxsK-xBrdYzoHWXWDXy3B2tv2UaW09S0PfNaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A5%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D","Perfume Afeef 100ML","https://www.falabella.com.co/falabella-co/product/142807803/Perfume-Afeef-Lattafa-100ML/142807804?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_tEaPsa95FS5irFL4qMIl7nJjwWZMNv5J_1oC6tiPA63C7yHfRzX4YI9L4bdtQ-WZVal-viWQqIPFlfUI9LckNMgy4m7vs54IcqvDCy_JomWIw9BOp7cOxsK-xBrdYzoHWXWDXy3B2tv2UaW09S0PfNaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A5%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/142700461/Perfume-Yara-Candy-100ML-+-Body-Spray-Yara-Lattafa-200ML/142700462?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_9vXcCkI6ipYxctDtTEoaxU58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZUDpYmyw54RCWq-IiWPLg7Ps1aA7YeQgipkDt_XqA7x6v8Ip-7m2_jnwLTqoiNw4XvGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A6%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D","$ 189.000","https://www.falabella.com.co/falabella-co/product/142700461/Perfume-Yara-Candy-100ML-+-Body-Spray-Yara-Lattafa-200ML/142700462?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_9vXcCkI6ipYxctDtTEoaxU58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZUDpYmyw54RCWq-IiWPLg7Ps1aA7YeQgipkDt_XqA7x6v8Ip-7m2_jnwLTqoiNw4XvGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A6%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D","Perfume Yara Candy 100ML + Body Spray Yara 200ML","https://www.falabella.com.co/falabella-co/product/142700461/Perfume-Yara-Candy-100ML-+-Body-Spray-Yara-Lattafa-200ML/142700462?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_9vXcCkI6ipYxctDtTEoaxU58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZUDpYmyw54RCWq-IiWPLg7Ps1aA7YeQgipkDt_XqA7x6v8Ip-7m2_jnwLTqoiNw4XvGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A6%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D"
"MOSCHINO","https://www.falabella.com.co/falabella-co/product/13355805/Perfume-Moschino-Fresh-Couture-Mujer-100-ml-EDT-/13355805","$ 149.990","https://www.falabella.com.co/falabella-co/product/13355805/Perfume-Moschino-Fresh-Couture-Mujer-100-ml-EDT-/13355805","Perfume Fresh Couture Mujer 100 ml EDT","https://www.falabella.com.co/falabella-co/product/13355805/Perfume-Moschino-Fresh-Couture-Mujer-100-ml-EDT-/13355805"
"VERSACE","https://www.falabella.com.co/falabella-co/product/5258454/Perfume-Versace-Eros-Flame-Hombre-200-ml-EDP-/5258454","$ 554.990","https://www.falabella.com.co/falabella-co/product/5258454/Perfume-Versace-Eros-Flame-Hombre-200-ml-EDP-/5258454","Perfume Eros Flame Hombre 200 ml EDP","https://www.falabella.com.co/falabella-co/product/5258454/Perfume-Versace-Eros-Flame-Hombre-200-ml-EDP-/5258454"
"CAROLINA HERRERA","https://www.falabella.com.co/falabella-co/product/73273734/Set-de-Perfume-Mujer-Carolina-Herrera-Perfume-Good-Girl-EDP-80ml,-locion-Good-Girl-100ml,-Perfume-Good-Girl-EDP-10ml/73273734?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2__BMGv7nSnmw5NDLWzoIyH058cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZoxAo4gWkBc1Saw-gXX2IZTYzdlpU9EvOfWrQE8gfl9WT4XVo3bfRuK1ai35co4D7vGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A9%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D","$ 651.000","https://www.falabella.com.co/falabella-co/product/73273734/Set-de-Perfume-Mujer-Carolina-Herrera-Perfume-Good-Girl-EDP-80ml,-locion-Good-Girl-100ml,-Perfume-Good-Girl-EDP-10ml/73273734?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2__BMGv7nSnmw5NDLWzoIyH058cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZoxAo4gWkBc1Saw-gXX2IZTYzdlpU9EvOfWrQE8gfl9WT4XVo3bfRuK1ai35co4D7vGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A9%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D","Set de Perfume Mujer Perfume Good Girl EDP 80ml, loción Good Girl 100ml, Perfume Good Girl EDP 10ml","https://www.falabella.com.co/falabella-co/product/73273734/Set-de-Perfume-Mujer-Carolina-Herrera-Perfume-Good-Girl-EDP-80ml,-locion-Good-Girl-100ml,-Perfume-Good-Girl-EDP-10ml/73273734?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2__BMGv7nSnmw5NDLWzoIyH058cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZoxAo4gWkBc1Saw-gXX2IZTYzdlpU9EvOfWrQE8gfl9WT4XVo3bfRuK1ai35co4D7vGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A9%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D"
"CAROLINA HERRERA","https://www.falabella.com.co/falabella-co/product/73273732/Set-de-Perfume-Mujer-Carolina-Herrera-Perfume-212-vip-rose-EDP-80ml,-locion-corporal-100ml,-perfume-212-vip-rose-EDP-10ml/73273732?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_VaN05aYMQxp1O_L9dC6aqk58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZGfUDLv2g7I5JjD-uEpwooGyowrTXbK3uhDENFUR6-CiAzGxtcvzCopYkRfi_3eInvGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A10%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D","$ 577.000","https://www.falabella.com.co/falabella-co/product/73273732/Set-de-Perfume-Mujer-Carolina-Herrera-Perfume-212-vip-rose-EDP-80ml,-locion-corporal-100ml,-perfume-212-vip-rose-EDP-10ml/73273732?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_VaN05aYMQxp1O_L9dC6aqk58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZGfUDLv2g7I5JjD-uEpwooGyowrTXbK3uhDENFUR6-CiAzGxtcvzCopYkRfi_3eInvGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A10%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D","Set de Perfume Mujer Perfume 212 vip rosé EDP 80ml, loción corporal 100ml, perfume 212 vip rosé EDP 10ml","https://www.falabella.com.co/falabella-co/product/73273732/Set-de-Perfume-Mujer-Carolina-Herrera-Perfume-212-vip-rose-EDP-80ml,-locion-corporal-100ml,-perfume-212-vip-rose-EDP-10ml/73273732?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_VaN05aYMQxp1O_L9dC6aqk58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZGfUDLv2g7I5JjD-uEpwooGyowrTXbK3uhDENFUR6-CiAzGxtcvzCopYkRfi_3eInvGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253A10%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D"
"CLINIQUE","https://www.falabella.com.co/falabella-co/product/1399368/Perfume-hombre-Clinique-Happy-for-men-100-ml-edt/1399368","$ 161.900","https://www.falabella.com.co/falabella-co/product/1399368/Perfume-hombre-Clinique-Happy-for-men-100-ml-edt/1399368","Perfume hombre Happy for men 100 ml edt","https://www.falabella.com.co/falabella-co/product/1399368/Perfume-hombre-Clinique-Happy-for-men-100-ml-edt/1399368"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287","$ 189.000","https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287","Perfume Khamrah 100ml","https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287"
"MAISON ALHAMBRA","https://www.falabella.com.co/falabella-co/product/121707999/Perfume-Delilah-Pour-Femme-100ml/121708000","$ 173.000","https://www.falabella.com.co/falabella-co/product/121707999/Perfume-Delilah-Pour-Femme-100ml/121708000","Perfume Delilah Pour Femme 100ml","https://www.falabella.com.co/falabella-co/product/121707999/Perfume-Delilah-Pour-Femme-100ml/121708000"
"HUGO BOSS","https://www.falabella.com.co/falabella-co/product/72728721/Perfume-Hombre-Hugo-Boss-Hugo-Iced-75-ml-EDT-/72728721","$ 219.990","https://www.falabella.com.co/falabella-co/product/72728721/Perfume-Hombre-Hugo-Boss-Hugo-Iced-75-ml-EDT-/72728721","Perfume Hombre Hugo Iced 75 ml EDT","https://www.falabella.com.co/falabella-co/product/72728721/Perfume-Hombre-Hugo-Boss-Hugo-Iced-75-ml-EDT-/72728721"
"ARMANI","https://www.falabella.com.co/falabella-co/product/1401418/Perfume-Giorgio-Armani-Acqua-Di-Gio-Hombre-50-ml-EDT/1401418","$ 249.990","https://www.falabella.com.co/falabella-co/product/1401418/Perfume-Giorgio-Armani-Acqua-Di-Gio-Hombre-50-ml-EDT/1401418","Perfume Giorgio Acqua Di Gio Hombre 50 ml EDT","https://www.falabella.com.co/falabella-co/product/1401418/Perfume-Giorgio-Armani-Acqua-Di-Gio-Hombre-50-ml-EDT/1401418"
"MONTBLANC","https://www.falabella.com.co/falabella-co/product/73170258/Perfume-Hombre-Montblanc-STARWALKER-EXTREME-75-ml-EDT-/73170258","$ 239.900","https://www.falabella.com.co/falabella-co/product/73170258/Perfume-Hombre-Montblanc-STARWALKER-EXTREME-75-ml-EDT-/73170258","Perfume Hombre STARWALKER EXTREME 75 ml EDT","https://www.falabella.com.co/falabella-co/product/73170258/Perfume-Hombre-Montblanc-STARWALKER-EXTREME-75-ml-EDT-/73170258"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/138276033/Perfume-Yara-Candy-Lattafa-100ML/138276034","$ 179.000","https://www.falabella.com.co/falabella-co/product/138276033/Perfume-Yara-Candy-Lattafa-100ML/138276034","Perfume Yara Candy 100ML","https://www.falabella.com.co/falabella-co/product/138276033/Perfume-Yara-Candy-Lattafa-100ML/138276034"
"ARMAF","https://www.falabella.com.co/falabella-co/product/121403396/Perfume-Armaf-Club-De-Nuit-Intense-Homme100ML-EDT/121403397","$ 382.415","https://www.falabella.com.co/falabella-co/product/121403396/Perfume-Armaf-Club-De-Nuit-Intense-Homme100ML-EDT/121403397","Perfume Club De Nuit Intense Homme100ML EDT","https://www.falabella.com.co/falabella-co/product/121403396/Perfume-Armaf-Club-De-Nuit-Intense-Homme100ML-EDT/121403397"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196","$ 183.000","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196","Perfume Yara 100ml","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406","$ 189.000","https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406","Perfume Badee Al Oud Amethyst 100ml","https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/128762343/Perfume-Asad-Lattafa-100ml/128762344","$ 182.000","https://www.falabella.com.co/falabella-co/product/128762343/Perfume-Asad-Lattafa-100ml/128762344","Perfume Asad 100ml","https://www.falabella.com.co/falabella-co/product/128762343/Perfume-Asad-Lattafa-100ml/128762344"
"TOMMY HILFIGER","https://www.falabella.com.co/falabella-co/product/72762191/Perfume-Hombre-Tommy-Hilfiger-100-ml-EDT/72762191","$ 169.990","https://www.falabella.com.co/falabella-co/product/72762191/Perfume-Hombre-Tommy-Hilfiger-100-ml-EDT/72762191","Perfume Hombre 100 ml EDT","https://www.falabella.com.co/falabella-co/product/72762191/Perfume-Hombre-Tommy-Hilfiger-100-ml-EDT/72762191"
"TOMMY HILFIGER","https://www.falabella.com.co/falabella-co/product/72762192/Perfume-Mujer-Tommy-Hilfiger-Girl-100-ml-EDT/72762192","$ 169.990","https://www.falabella.com.co/falabella-co/product/72762192/Perfume-Mujer-Tommy-Hilfiger-Girl-100-ml-EDT/72762192","Perfume Mujer Girl 100 ml EDT","https://www.falabella.com.co/falabella-co/product/72762192/Perfume-Mujer-Tommy-Hilfiger-Girl-100-ml-EDT/72762192"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/133932084/Perfume-Eclaire-Lattafa-100ML/133932085","$ 210.000","https://www.falabella.com.co/falabella-co/product/133932084/Perfume-Eclaire-Lattafa-100ML/133932085","Perfume Eclaire 100ML","https://www.falabella.com.co/falabella-co/product/133932084/Perfume-Eclaire-Lattafa-100ML/133932085"
